Time (UTC),Action,Detail,Notes
24_10_2020 @ 15:47:21,Sign-Up,,
24_10_2020 @ 15:47:21:589,move,edit,
24_10_2020 @ 15:47:37:541,exit,edit,
24_10_2020 @ 15:47:37:666,move,profile,
24_10_2020 @ 15:47:39:628,exit,profile,
24_10_2020 @ 15:47:39:732,logout,,
25_10_2020 @ 17:41:38:252,move,profile,
25_10_2020 @ 17:42:14:447,exit,profile,
25_10_2020 @ 17:42:14:558,move,profile,
25_10_2020 @ 17:42:15:766,exit,profile,
25_10_2020 @ 17:42:15:924,move,leaderboard,1
25_10_2020 @ 17:42:17:67,exit,leaderboard,1
25_10_2020 @ 17:42:17:148,move,profile,
25_10_2020 @ 17:42:25:269,exit,profile,
25_10_2020 @ 17:42:26:645,move,profile,
25_10_2020 @ 17:42:59:877,move,profile,
25_10_2020 @ 17:43:3:697,exit,profile,
25_10_2020 @ 17:43:3:825,move,leaderboard,1
25_10_2020 @ 17:43:5:36,exit,leaderboard,1
25_10_2020 @ 17:43:5:102,move,profile,
25_10_2020 @ 17:43:6:558,exit,profile,
25_10_2020 @ 17:43:6:604,move,tag_tutorial,
25_10_2020 @ 17:43:7:811,exit,tag_tutorial,
25_10_2020 @ 17:43:7:852,move,profile,
25_10_2020 @ 17:43:16:432,exit,profile,
25_10_2020 @ 17:43:16:469,logout,,
25_10_2020 @ 17:43:27:514,move,profile,
25_10_2020 @ 17:43:32:512,exit,profile,
25_10_2020 @ 17:43:34:29,move,profile,
25_10_2020 @ 17:43:36:60,exit,profile,
25_10_2020 @ 17:43:36:137,move,leaderboard,1
25_10_2020 @ 17:43:37:0,exit,leaderboard,1
25_10_2020 @ 17:43:37:53,move,profile,
25_10_2020 @ 17:54:45:321,exit,profile,
25_10_2020 @ 17:54:45:369,move,profile,
25_10_2020 @ 17:54:49:400,exit,profile,
25_10_2020 @ 17:54:49:478,move,leaderboard,1
25_10_2020 @ 17:54:52:227,exit,leaderboard,1
25_10_2020 @ 17:54:52:248,logout,,
26_10_2020 @ 19:56:50:107,move,profile,
26_10_2020 @ 19:56:51:362,exit,profile,
26_10_2020 @ 19:56:51:406,logout,,
26_10_2020 @ 19:56:59:438,move,profile,
26_10_2020 @ 19:57:0:924,exit,profile,
26_10_2020 @ 19:57:0:966,logout,,
26_10_2020 @ 20:8:8:545,move,profile,
26_10_2020 @ 20:8:28:448,exit,profile,
26_10_2020 @ 20:8:28:511,logout,,
27_10_2020 @ 22:25:56:539,move,profile,
27_10_2020 @ 22:26:6:256,exit,profile,
27_10_2020 @ 22:26:6:287,logout,,
27_10_2020 @ 22:42:43:535,move,profile,
27_10_2020 @ 22:42:57:764,exit,profile,
27_10_2020 @ 22:44:30:889,move,profile,
27_10_2020 @ 22:44:35:518,exit,profile,
27_10_2020 @ 22:44:35:566,move,profile,
27_10_2020 @ 22:44:38:536,exit,profile,
27_10_2020 @ 22:44:38:739,move,leaderboard,1
27_10_2020 @ 22:44:40:27,exit,leaderboard,1
27_10_2020 @ 22:44:40:53,logout,,
27_10_2020 @ 23:24:18:637,move,profile,
27_10_2020 @ 23:24:20:405,exit,profile,
28_10_2020 @ 0:37:29:285,move,profile,
28_10_2020 @ 0:39:23:144,exit,profile,
28_10_2020 @ 0:39:30:340,move,profile,
28_10_2020 @ 0:39:33:513,exit,profile,
28_10_2020 @ 0:39:33:609,move,leaderboard,1
28_10_2020 @ 0:39:34:953,exit,leaderboard,1
28_10_2020 @ 0:39:34:998,move,profile,
28_10_2020 @ 0:47:7:739,exit,profile,
28_10_2020 @ 0:47:40:400,move,profile,
28_10_2020 @ 0:47:53:462,exit,profile,
28_10_2020 @ 0:47:53:540,move,leaderboard,1
28_10_2020 @ 0:47:55:424,exit,leaderboard,1
28_10_2020 @ 0:47:55:486,move,tag_tutorial,
28_10_2020 @ 0:47:56:460,exit,tag_tutorial,
28_10_2020 @ 0:47:56:507,move,profile,
28_10_2020 @ 0:47:57:340,exit,profile,
28_10_2020 @ 0:47:57:421,move,leaderboard,1
28_10_2020 @ 0:47:57:958,exit,leaderboard,1
28_10_2020 @ 0:47:57:999,move,profile,
28_10_2020 @ 0:47:58:508,exit,profile,
28_10_2020 @ 0:47:58:595,move,leaderboard,1
28_10_2020 @ 0:47:59:83,exit,leaderboard,1
28_10_2020 @ 0:47:59:130,move,profile,
28_10_2020 @ 0:47:59:699,exit,profile,
28_10_2020 @ 0:47:59:829,move,leaderboard,1
28_10_2020 @ 0:48:0:294,exit,leaderboard,1
28_10_2020 @ 0:48:0:352,move,profile,
28_10_2020 @ 0:48:1:27,exit,profile,
28_10_2020 @ 0:48:1:110,move,leaderboard,1
28_10_2020 @ 0:48:1:716,exit,leaderboard,1
28_10_2020 @ 0:48:1:758,move,profile,
28_10_2020 @ 0:48:2:455,exit,profile,
28_10_2020 @ 0:48:2:558,move,leaderboard,1
28_10_2020 @ 0:48:3:125,exit,leaderboard,1
28_10_2020 @ 0:48:3:163,move,profile,
28_10_2020 @ 0:48:3:901,exit,profile,
28_10_2020 @ 0:48:3:992,move,leaderboard,1
28_10_2020 @ 0:48:4:765,exit,leaderboard,1
28_10_2020 @ 0:48:4:805,move,profile,
28_10_2020 @ 0:48:5:541,exit,profile,
28_10_2020 @ 0:48:5:641,move,leaderboard,1
28_10_2020 @ 0:48:6:273,exit,leaderboard,1
28_10_2020 @ 0:48:6:311,move,profile,
28_10_2020 @ 0:48:6:987,exit,profile,
28_10_2020 @ 0:48:7:70,move,leaderboard,1
28_10_2020 @ 0:48:7:715,exit,leaderboard,1
28_10_2020 @ 0:48:7:760,move,profile,
28_10_2020 @ 0:48:8:440,exit,profile,
28_10_2020 @ 0:48:8:521,move,leaderboard,1
28_10_2020 @ 0:48:9:129,exit,leaderboard,1
28_10_2020 @ 0:48:9:170,move,profile,
28_10_2020 @ 0:48:9:741,exit,profile,
28_10_2020 @ 0:48:9:820,move,leaderboard,1
28_10_2020 @ 0:48:10:450,exit,leaderboard,1
28_10_2020 @ 0:48:10:494,move,profile,
28_10_2020 @ 0:48:11:141,exit,profile,
28_10_2020 @ 0:48:11:228,move,leaderboard,1
28_10_2020 @ 0:48:11:856,exit,leaderboard,1
28_10_2020 @ 0:48:11:901,move,profile,
28_10_2020 @ 0:48:12:488,exit,profile,
28_10_2020 @ 0:48:12:571,move,leaderboard,1
28_10_2020 @ 0:48:13:246,exit,leaderboard,1
28_10_2020 @ 0:48:13:302,move,profile,
28_10_2020 @ 0:48:13:913,exit,profile,
28_10_2020 @ 0:48:13:997,move,leaderboard,1
28_10_2020 @ 0:48:14:645,exit,leaderboard,1
28_10_2020 @ 0:48:14:686,move,profile,
28_10_2020 @ 0:48:15:313,exit,profile,
28_10_2020 @ 0:48:15:407,move,leaderboard,1
28_10_2020 @ 0:48:16:109,exit,leaderboard,1
28_10_2020 @ 0:48:16:148,move,profile,
28_10_2020 @ 0:48:16:830,exit,profile,
28_10_2020 @ 0:48:16:930,move,leaderboard,1
28_10_2020 @ 0:48:17:644,exit,leaderboard,1
28_10_2020 @ 0:48:17:679,move,profile,
28_10_2020 @ 0:48:18:311,exit,profile,
28_10_2020 @ 0:48:18:388,move,leaderboard,1
28_10_2020 @ 0:48:19:139,exit,leaderboard,1
28_10_2020 @ 0:48:19:178,move,profile,
28_10_2020 @ 0:48:19:764,exit,profile,
28_10_2020 @ 0:48:19:858,move,leaderboard,1
28_10_2020 @ 0:48:20:463,exit,leaderboard,1
28_10_2020 @ 0:48:20:524,move,profile,
28_10_2020 @ 0:48:21:191,exit,profile,
28_10_2020 @ 0:48:21:273,move,leaderboard,1
28_10_2020 @ 0:48:22:657,exit,leaderboard,1
28_10_2020 @ 0:48:22:732,move,leaderboard,1
28_10_2020 @ 0:48:23:498,exit,leaderboard,1
28_10_2020 @ 0:48:23:538,move,profile,
28_10_2020 @ 0:48:24:72,exit,profile,
28_10_2020 @ 0:48:24:149,move,leaderboard,1
28_10_2020 @ 0:48:24:737,exit,leaderboard,1
28_10_2020 @ 0:48:24:779,move,profile,
