time,pitch,yaw
26,0,0
480,0,0
500,0,0
520,0,0
541,0,0
560,0,0
584,0,0
600,0,0
621,0,0
640,0,0
660,0,0
681,0,0
700,0,0
720,0,0
740,0,0
760,0,0
781,0,0
801,0,0
821,0,0
841,0,0
860,0,0
880,0,0
901,0,0
920,0,0
940,0,0
961,0,0
980,0,0
1000,0,0
1023,-1.3286622317734114,0.2621707705076233
1043,-4.604448806940768,2.2486856001278284
1060,-7.453549202198863,4.812701625487989
1080,-10.45759465839837,8.396013807140207
1100,-12.70491959669432,12.188622608828268
1120,-14.494443474388031,16.028987976865665
1140,-16.42074294695559,22.318336859381816
1161,-17.157405721979014,26.85679367287537
1180,-17.304423967628768,31.726999480888026
1204,-15.68161820922284,39.578722605723215
1220,-13.749948113765724,42.978986961093256
1241,-11.507436586388812,45.64732035300426
1260,-8.955860594571368,47.52744092572698
1282,-3.707840460288028,48.21905877375855
1300,-0.8849040659349953,47.643222607103894
1324,2.3402309008082103,46.122195360959495
1341,5.785645271796319,43.59370905709022
1360,9.272899359016257,39.578722605723215
1380,12.108533563637874,34.71530229999735
1400,15.487288750112041,23.742624959439354
1420,15.867227687304437,18.745356304655616
1440,15.614168295737086,14.74521974734671
1460,14.205794208856068,10.776979499236859
1480,11.441692048098389,6.456765501853624
1500,3.9300274723023207,-0.652543739359885
1520,0.7345392331419275,-2.584630468192927
1540,-1.1806507303308469,-2.966303138124431
1560,-2.8134213989181327,-2.8392584228055284
1582,-7.153187021773707,0.5249909400336037
1600,-8.955860594571368,4.404546575294603
1620,-9.706920026180121,12.330170660319595
1641,-8.805623679526235,19.746714510942752
1660,-8.054419846424885,23.03100898881314
1684,-1.921588268805071,36.44893413815555
1700,1.4662355962204805,40.218403640305155
1720,6.209985594688335,41.86050413624082
1740,6.209985594688335,41.86050413624082
1761,10.228154514408534,37.50276936802629
1780,11.173471849858654,32.13821948351631
1801,10.769573733675955,21.461984957039476
1820,8.860546657527706,13.322733560796337
1840,4.503797294666663,2.650116381299881
1861,0.14712528098275732,-2.457048509896026
1882,-6.852894099463267,-5.4685418922041436
1901,-8.655382912935588,-4.351758877170823
1920,-10.15738634153299,-1.8164852071784026
1940,-10.607662300720337,2.918470872114881
1970,-9.256315168859254,18.173135725221414
1982,-6.702778407101184,28.679921496370525
2000,-3.707840460288028,39.06382200552605
2020,-0.14723062283217297,48.90327703375226
2040,3.7862112040261846,59.39252747571118
2060,4.6468587492314715,61.815821234730265
2081,4.9244175825151695,62.59733347188728
2100,5.058517692931819,62.97491423937663
2120,5.192050955026093,63.350898952813964
2141,5.321578219257539,63.71560412484814
2161,5.444743790023437,64.062396909683
2181,5.670144637024369,64.69704981592542
2200,5.781104295326244,65.00947486025848
2223,5.8923337643776215,65.32265960083294
2241,5.968937499694509,65.53834993161377
2261,6.138228733794115,66.01501705665896
2280,6.236699383005417,66.29227725569126
2301,6.332215912740381,66.56121964875263
2320,6.424866946583295,66.8220937700222
2340,6.497636431057872,67.02698814119265
2360,6.58481178880067,67.27244460189513
2382,6.750282468561143,67.73835433207228
2400,6.750282468561143,67.73835433207228
2420,6.750282468561143,67.73835433207228
2440,7.04708508599764,68.53716040627683
2460,7.787582625118712,70.28606825621728
2480,8.083140984272436,74.2671625087089
2500,7.639662652731499,76.5029367211182
2520,7.195360600026674,78.61864546646859
2540,6.601758938791294,80.60645602147633
2560,6.453156320833635,81.31872679962521
2585,6.3044764164541345,81.46130065758712
2601,6.3044764164541345,81.46130065758712
2621,6.3044764164541345,81.46130065758712
2641,6.3044764164541345,81.46130065758712
2661,6.3044764164541345,81.46130065758712
2680,6.3044764164541345,81.46130065758712
2700,6.3044764164541345,81.46130065758712
2720,6.3044764164541345,81.46130065758712
2740,6.3044764164541345,81.46130065758712
2760,6.3044764164541345,81.46130065758712
2780,6.3044764164541345,81.46130065758712
2800,6.3044764164541345,81.46130065758712
2820,6.3044764164541345,81.46130065758712
2841,6.3044764164541345,81.46130065758712
2860,6.3044764164541345,81.46130065758712
2880,6.3044764164541345,81.46130065758712
2901,6.3044764164541345,81.46130065758712
2920,6.3044764164541345,81.46130065758712
2940,6.3044764164541345,81.46130065758712
2960,6.3044764164541345,81.46130065758712
2980,6.3044764164541345,81.46130065758712
3000,6.3044764164541345,81.46130065758712
3020,6.3044764164541345,81.46130065758712
3040,6.3044764164541345,81.46130065758712
3060,6.3044764164541345,81.46130065758712
3081,6.3044764164541345,81.46130065758712
3113,6.3044764164541345,81.46130065758712
3120,6.3044764164541345,81.46130065758712
3140,6.3044764164541345,81.46130065758712
3160,6.3044764164541345,81.46130065758712
3180,6.3044764164541345,81.46130065758712
3200,6.3044764164541345,81.46130065758712
3220,6.3044764164541345,81.46130065758712
3240,6.3044764164541345,81.46130065758712
3267,6.3044764164541345,81.46130065758712
3280,6.3044764164541345,81.46130065758712
3301,6.3044764164541345,81.46130065758712
3320,6.3044764164541345,81.46130065758712
3340,6.3044764164541345,81.46130065758712
3360,6.3044764164541345,81.46130065758712
3380,6.3044764164541345,81.46130065758712
3400,6.3044764164541345,81.46130065758712
3420,6.3044764164541345,81.46130065758712
3440,6.3044764164541345,81.46130065758712
3460,6.3044764164541345,81.46130065758712
3480,6.3044764164541345,81.46130065758712
3500,6.3044764164541345,81.46130065758712
3520,6.3044764164541345,81.46130065758712
3540,6.3044764164541345,81.46130065758712
3560,6.3044764164541345,81.46130065758712
3583,6.3044764164541345,81.46130065758712
3600,6.3044764164541345,81.46130065758712
3620,6.3044764164541345,81.46130065758712
3640,6.3044764164541345,81.46130065758712
