time,pitch,yaw,hfov,user16_img23_14_9_2020 @ 17:10:40
43,0,0,100,
68,0,0,100,
88,0,0,100,
109,0,0,100,
2112,0,0,100,
2131,0,0,100,
2153,0,0,100,
2174,0,0,100,
2194,0,0,100,
2216,0,0,100,
2237,0,0,100,
2257,0,0,100,
2278,0,0,100,
2299,0,0,100,
2321,0,0,100,
2341,0,0,100,
2362,0,0,100,
2383,0,0,100,
2404,0,0,100,
2425,0,0,100,
2445,0,0,100,
2465,0,0,100,
2485,0,0,100,
2507,0,0,100,
2527,0,0,100,
2548,0,0,100,
2569,0,0,100,
2589,0,0,100,
2610,0,0,100,
2656,0,0,100,
2706,-2.4497089996034247,-0.4159062482385707,100,
2732,-7.932990169550966,-0.554755417971478,100,
2766,-10.93402239451617,-0.971927377510724,100,
2823,-11.824847888906532,-1.9488145748510988,100,
2876,-8.385874457410242,-9.889071842560952,100,
2905,-6.56958775108084,-19.71342220852614,100,
2928,-6.873134472402992,-21.255614185547074,100,
2956,-7.024792157054974,-21.39526829526801,100,
2977,-7.024792157054974,-21.39526829526801,100,
3036,-7.024792157054974,-21.39526829526801,100,
3058,-7.024792157054974,-21.39526829526801,100,
3078,-7.024792157054974,-21.39526829526801,100,
3099,-7.024792157054974,-21.39526829526801,100,
3120,-7.024792157054974,-21.39526829526801,100,
3141,-7.024792157054974,-21.39526829526801,100,
3163,-7.024792157054974,-21.39526829526801,100,
3183,-7.024792157054974,-21.39526829526801,100,
3203,-7.024792157054974,-21.39526829526801,100,
3224,-7.024792157054974,-21.39526829526801,100,
3245,-7.024792157054974,-21.39526829526801,100,
3265,-7.024792157054974,-21.39526829526801,100,
3287,-7.024792157054974,-21.39526829526801,100,
3336,-7.024792157054974,-21.39526829526801,100,
3356,-7.024792157054974,-21.39526829526801,100,
3377,-7.024792157054974,-21.39526829526801,100,
3398,-7.024792157054974,-21.39526829526801,100,
3419,-7.024792157054974,-21.39526829526801,100,
3440,-7.024792157054974,-21.39526829526801,100,
3461,-7.024792157054974,-21.39526829526801,100,
3495,-7.024792157054974,-21.39526829526801,100,
3516,-7.024792157054974,-21.39526829526801,100,
3536,-7.024792157054974,-21.39526829526801,100,
3556,-7.024792157054974,-21.39526829526801,100,
3578,-7.024792157054974,-21.39526829526801,100,
3599,-7.024792157054974,-21.39526829526801,100,
3619,-7.024792157054974,-21.39526829526801,100,
3640,-7.024792157054974,-21.39526829526801,100,
3661,-7.024792157054974,-21.39526829526801,100,
3681,-7.024792157054974,-21.39526829526801,100,
3702,-7.024792157054974,-21.39526829526801,100,
3724,-7.024792157054974,-21.39526829526801,100,
3745,-7.024792157054974,-21.39526829526801,100,
3766,-7.024792157054974,-21.39526829526801,100,
3787,-7.024792157054974,-21.39526829526801,100,
3831,-7.024792157054974,-21.39526829526801,100,
3852,-7.024792157054974,-21.39526829526801,100,
3873,-7.024792157054974,-21.39526829526801,100,
3894,-7.024792157054974,-21.39526829526801,100,
3915,-7.024792157054974,-21.39526829526801,100,
3936,-7.024792157054974,-21.39526829526801,100,
3957,-7.024792157054974,-21.39526829526801,100,
3978,-7.024792157054974,-21.39526829526801,100,
3999,-7.024792157054974,-21.39526829526801,100,
4019,-7.024792157054974,-21.39526829526801,100,
4040,-7.024792157054974,-21.39526829526801,100,
4062,-7.024792157054974,-21.39526829526801,100,
4082,-7.024792157054974,-21.39526829526801,100,
4103,-7.024792157054974,-21.39526829526801,100,
4124,-7.024792157054974,-21.39526829526801,100,
4146,-7.024792157054974,-21.39526829526801,100,
4166,-7.024792157054974,-21.39526829526801,100,
4187,-7.024792157054974,-21.39526829526801,100,
4208,-7.024792157054974,-21.39526829526801,100,
4228,-7.024792157054974,-21.39526829526801,100,
4249,-7.024792157054974,-21.39526829526801,100,
4269,-7.024792157054974,-21.39526829526801,100,
4303,-7.024792157054974,-21.39526829526801,100,
4323,-7.024792157054974,-21.39526829526801,100,
4344,-7.024792157054974,-21.39526829526801,100,
4365,-7.024792157054974,-21.39526829526801,100,
4386,-7.024792157054974,-21.39526829526801,100,
4407,-7.024792157054974,-21.39526829526801,100,
4428,-7.024792157054974,-21.39526829526801,100,
4450,-7.024792157054974,-21.39526829526801,100,
4470,-7.024792157054974,-21.39526829526801,100,
4491,-7.024792157054974,-21.39526829526801,100,
4511,-7.024792157054974,-21.39526829526801,100,
4532,-7.024792157054974,-21.39526829526801,100,
4553,-7.024792157054974,-21.39526829526801,100,
4574,-7.024792157054974,-21.39526829526801,100,
4595,-7.024792157054974,-21.39526829526801,100,
4616,-7.024792157054974,-21.39526829526801,100,
4637,-7.024792157054974,-21.39526829526801,100,
4658,-7.024792157054974,-21.39526829526801,100,
4678,-7.024792157054974,-21.39526829526801,100,
4699,-7.024792157054974,-21.39526829526801,100,
4720,-7.024792157054974,-21.39526829526801,100,
4740,-7.024792157054974,-21.39526829526801,100,
4761,-7.024792157054974,-21.39526829526801,100,
4782,-7.024792157054974,-21.39526829526801,100,
4804,-7.024792157054974,-21.39526829526801,100,
4825,-7.024792157054974,-21.39526829526801,100,
4846,-7.024792157054974,-21.39526829526801,100,
4867,-7.024792157054974,-21.39526829526801,100,
4888,-7.024792157054974,-21.39526829526801,100,
4908,-7.024792157054974,-21.39526829526801,100,
4930,-7.024792157054974,-21.39526829526801,100,
4950,-7.024792157054974,-21.39526829526801,100,
4971,-7.024792157054974,-21.39526829526801,100,
4991,-7.024792157054974,-21.39526829526801,100,
5013,-7.024792157054974,-21.39526829526801,100,
5033,-7.024792157054974,-21.39526829526801,100,
5054,-7.024792157054974,-21.39526829526801,100,
5073,-7.024792157054974,-21.39526829526801,100,
5095,-7.024792157054974,-21.39526829526801,100,
5115,-7.024792157054974,-21.39526829526801,100,
5136,-7.024792157054974,-21.39526829526801,100,
5157,-7.024792157054974,-21.39526829526801,100,
5177,-7.024792157054974,-21.39526829526801,100,
5198,-7.024792157054974,-21.39526829526801,100,
5218,-7.024792157054974,-21.39526829526801,100,
5239,-7.024792157054974,-21.39526829526801,100,
5260,-7.024792157054974,-21.39526829526801,100,
5281,-7.024792157054974,-21.39526829526801,100,
5303,-7.024792157054974,-21.39526829526801,100,
5324,-7.024792157054974,-21.39526829526801,100,
5345,-7.024792157054974,-21.39526829526801,100,
5365,-7.024792157054974,-21.39526829526801,100,
5386,-7.024792157054974,-21.39526829526801,100,
5407,-7.024792157054974,-21.39526829526801,100,
5428,-7.024792157054974,-21.39526829526801,100,
5449,-7.024792157054974,-21.39526829526801,100,
5469,-7.024792157054974,-21.39526829526801,100,
5490,-7.024792157054974,-21.39526829526801,100,
5510,-7.024792157054974,-21.39526829526801,100,
5531,-7.024792157054974,-21.39526829526801,100,
5552,-7.024792157054974,-21.39526829526801,100,
5573,-7.024792157054974,-21.39526829526801,100,
5594,-7.024792157054974,-21.39526829526801,100,
5615,-7.024792157054974,-21.39526829526801,100,
5635,-7.024792157054974,-21.39526829526801,100,
5657,-7.024792157054974,-21.39526829526801,100,
5677,-7.024792157054974,-21.39526829526801,100,
5698,-7.024792157054974,-21.39526829526801,100,
5719,-7.024792157054974,-21.39526829526801,100,
5740,-7.024792157054974,-21.39526829526801,100,
5761,-7.024792157054974,-21.39526829526801,100,
5781,-7.024792157054974,-21.39526829526801,100,
5802,-7.024792157054974,-21.39526829526801,100,
5823,-7.024792157054974,-21.39526829526801,100,
5843,-7.024792157054974,-21.39526829526801,100,
5864,-7.024792157054974,-21.39526829526801,100,
5885,-7.024792157054974,-21.39526829526801,100,
5905,-7.024792157054974,-21.39526829526801,100,
5926,-7.024792157054974,-21.39526829526801,100,
5947,-7.024792157054974,-21.39526829526801,100,
5968,-7.024792157054974,-21.39526829526801,100,
5989,-7.024792157054974,-21.39526829526801,100,
6010,-7.024792157054974,-21.39526829526801,100,
6032,-7.024792157054974,-21.39526829526801,100,
6052,-7.024792157054974,-21.39526829526801,100,
6072,-7.024792157054974,-21.39526829526801,100,
6094,-7.024792157054974,-21.39526829526801,100,
6114,-7.024792157054974,-21.39526829526801,100,
6135,-7.024792157054974,-21.39526829526801,100,
6156,-7.024792157054974,-21.39526829526801,100,
6176,-7.024792157054974,-21.39526829526801,100,
6198,-7.024792157054974,-21.39526829526801,100,
6218,-7.024792157054974,-21.39526829526801,100,
