time,action,description,action_pitch,action_yaw,viewer_center_pitch,viewer_center_yaw,viewer_hfov,user16_img21_28_8_2020 @ 2:9:45
6244,Tag Creation,point 1,44.44188270219165,-49.15151116800862,18.744418795933264,-52.15156530978766,100,
9888,Tag Creation,point 2,25.423632615107934,-14.06157501487072,18.744418795933264,-52.15156530978766,100,
14473,Tag Creation,point 3,13.944212720297626,39.59787800466954,7.584165499629478,11.916632333636812,100,
17409,Single Tag Deletion,point 2,25.423632615107934,-14.06157501487072,13.554404936972011,-3.6636834966525385,100,
19894,All Tag Deletion,Tags deleted: 2,-,-,16.82833260100976,-11.324733000115657,100,
23918,Tag Creation,point 4,38.37314139506641,4.838723581155136,16.82833260100976,-11.324733000115657,100,
25891,Tag Submission,Tags submitted: 1,-,-,16.82833260100976,-11.324733000115657,100,
