time,pitch,yaw,hfov
22,0,0,100
54,0,0,100
62,0,0,100
583,0,0,100
600,0,0,100
621,0,0,100
640,0,0,100
660,0,0,100
680,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
761,0,0,100
780,0,0,100
800,0,0,100
820,0,0,100
841,0,0,100
861,0,0,100
880,0,0,100
900,0,0,100
921,0,0,100
954,0,0,100
960,0,0,100
981,0,0,100
1000,0,0,100
1025,0,0,100
1040,0,0,100
1060,0,0,100
1080,0,0,100
1100,0,0,100
1120,0,0,100
1140,0,0,100
1160,0,0,100
1181,0,0,100
1200,0,0,100
1220,0,0,100
1240,0,0,100
1261,0,0,100
1281,0,0,100
1300,0,0,100
1320,0,0,100
1341,0,0,100
1361,0,0,100
1380,0,0,100
1400,0,0,100
1420,0,0,100
1440,0,0,100
1460,0,0,100
1480,0,0,100
1500,0,0,100
1520,0,0,100
1540,0,0,100
1560,0,0,100
1580,0,0,100
1601,0,0,100
1621,0,0,100
1641,0,0,100
1661,0,0,100
1681,0,0,100
1700,0,0,100
1720,0,0,100
1740,0,0,100
1760,0,0,100
1780,0,0,100
1801,0,0,100
1820,0,0,100
1840,0,0,100
1860,0,0,100
1880,0,0,100
1900,0,0,100
1920,0,0,100
1940,0,0,100
1961,0,0,100
1994,0,0,100
2008,0,0,100
2024,0,0,100
2040,0,0,100
2061,0,0,100
2080,0,0,100
2100,0,0,100
2120,0,0,100
2140,0,0,100
2160,0,0,100
2180,0,0,100
2200,0,0,100
2220,0,0,100
2240,0,0,100
2260,0,0,100
2280,0,0,100
2300,0,0,100
2321,0,0,100
2340,0,0,100
2361,0,0,100
2380,0,0,100
2401,0,0,100
2420,0,0,100
2442,-0.14810127245211185,-0.21789804243599065,100
2469,-1.1871747348347996,-2.216466664765676,100
2486,-2.379178228514616,-5.221312687754562,100
2504,-3.8745431481273984,-9.105358072268814,100
2520,-5.5242318676898545,-14.359665086377959,100
2542,-7.326720681162176,-22.234525503970985,100
2563,-8.378257794406709,-29.869253080214662,100
2580,-8.678587265630487,-34.30206652309107,100
2606,-8.828724109759579,-40.977389115541314,100
2620,-8.978839802121662,-42.79762302629649,100
2643,-8.978839802121662,-46.65804806166574,100
2663,-8.978839802121662,-46.98426211828644,100
2680,-8.978839802121662,-47.254900813166216,100
2700,-8.978839802121662,-47.51723979725273,100
2730,-8.978839802121662,-48.1008735683414,100
2747,-8.978839802121662,-48.38100467842315,100
