time,pitch,yaw,hfov
28,0,0,100
53,0,0,100
62,0,0,100
549,0,0,100
561,0,0,100
581,0,0,100
602,0,0,100
621,0,0,100
648,0,0,100
661,0,0,100
681,0,0,100
701,0,0,100
721,0,0,100
741,0,0,100
761,0,0,100
781,0,0,100
800,0,0,100
823,0,-0.25831516728317183,100
842,-0.43642741031940613,-2.217091386047173,100
862,-1.0200972498407395,-5.018934073151286,100
885,-2.193105619825453,-12.341947962251652,100
901,-3.3729616587518434,-19.31010791350252,100
921,-4.707387963036921,-27.575846863525726,100
995,-8.442796350553323,-49.656269107044125,100
1001,-8.442796350553323,-49.656269107044125,100
1025,-8.544749021726727,-50.27761699424434,100
1041,-8.544749021726727,-50.27761699424434,100
1061,-8.643643112764929,-50.88032444482849,100
1084,-8.739570381071985,-51.46495067189511,100
1116,-8.83261983132983,-52.032038112149735,100
1130,-8.913400711606853,-52.524355073624236,100
1142,-8.975149372231055,-52.9006806703419,100
1161,-8.975149372231055,-52.9006806703419,100
1192,-7.930120855159642,-55.59679585732226,100
1208,-7.036945590157826,-60.20122768434334,100
1244,-5.998450759702527,-72.67835926890905,100
1264,-5.702519285872748,-84.51777783314617,100
1308,-5.998450759702527,-101.43132823290921,100
1323,-7.036945590157826,-105.12489712944398,100
1392,-14.526881947151665,-106.08023948531962,100
1459,-27.323933383624293,-88.04615721770494,100
1594,-10.472424137099166,-59.939548206052564,100
1659,-11.672819471521475,-84.65972002783099,100
1673,-13.174928748427241,-86.92213453991064,100
1682,-14.827174869462105,-88.04615721770494,100
1813,-19.312911906696648,-67.62874186954718,100
1856,-14.677038025333013,-68.60140332859692,100
1870,-13.775880260597585,-70.98313108813414,100
1888,-13.174928748427241,-75.66516376204379,100
1990,-18.715912696247848,-78.74133265165648,100
2001,-19.739445586525328,-77.02617251711212,100
2023,-21.479513759279683,-71.5971046544783,100
2042,-21.623621784225318,-67.35218447616853,100
2061,-19.88517695359472,-62.22516518556722,100
2082,-17.834142840273742,-61.137830900268284,100
2101,-16.20814516604122,-61.137830900268284,100
2121,-14.721041135875394,-63.595856653473675,100
2141,-14.422765671050463,-66.37138402792186,100
2161,-14.571935663478794,-71.7394963140415,100
2188,-15.614216400877204,-75.30955772672428,100
2218,-17.17451283272608,-75.40958911824248,100
2276,-24.65423875849062,-64.06466500280936,100
2284,-24.926572108738306,-61.990225807573495,100
2303,-24.926572108738306,-56.86389852245833,100
2330,-23.142333417062755,-54.38286641435212,100
2348,-21.467077138163706,-53.74011227792198,100
2441,-19.310553290842503,-54.89790724209388,100
2480,-19.20024415107628,-55.06391709024365,100
2491,-19.152105604228673,-55.136363243565654,100
2514,-19.094263775321792,-55.22341236074567,100
2525,-19.047067125901407,-55.294441004610235,100
2551,-18.990009006497033,-55.380310677405305,100
2566,-18.93466263067479,-55.463604260016496,100
2584,-18.93466263067479,-55.463604260016496,100
2627,-18.880976646127216,-55.54439903514941,100
2665,-18.775060173509335,-55.70379813456327,100
2682,-18.735387447319248,-55.76350364277823,100
2702,-18.69066852513407,-55.830803428608476,100
2722,-18.647291170614444,-55.89608422086383,100
2747,-18.605215136730408,-55.95940658935143,100
2774,-18.564401383862894,-56.020829286784476,100
2782,-18.536968299830853,-56.06211473352164,100
2801,-18.503954166790265,-56.111799385441486,100
2821,-18.484507679076355,-56.1410653962115,100
2841,-18.44837555711363,-56.195442468619774,100
2863,-18.380440577960055,-56.297681282169094,100
2881,-18.35995615818803,-56.32850932980864,100
2901,-18.3313931953513,-56.37149518876174,100
2921,-18.2744198886858,-56.45723722254223,100
2941,-18.245225753994376,-56.50117296419751,100
2961,-18.219614340680845,-56.539716885799066,100
2983,-18.192145579349685,-56.58105602512251,100
3001,-18.166339405203782,-56.61989305222983,100
