time,pitch,yaw,hfov
20,0,0,100
53,0,0,100
61,0,0,100
478,0,0,100
480,0,0,100
501,0,0,100
521,0,0,100
541,0,0,100
561,0,0,100
581,0,0,100
601,0,0,100
621,0,0,100
641,0,0,100
661,0,0,100
681,0,0,100
700,0,0,100
720,0,0,100
740,0,0,100
760,0,0,100
780,0,0,100
800,0,0,100
821,0,0,100
840,0,0,100
863,0,0,100
881,0,0,100
901,0,0,100
921,0,0,100
941,0,0,100
970,-0.15013684412909184,0,100
981,-0.15013684412909184,0,100
1005,-0.15013684412909184,0,100
1022,-0.45034516099447236,-0.4025311391495734,100
1040,-1.5001870889849118,-6.1613597755861065,100
1060,-4.338438593704092,-23.074229938021517,100
1080,-4.933000029091155,-34.06418515359974,100
1128,-3.878497327121993,-48.59648948853106,100
1141,-3.8452697261423565,-48.85780241436788,100
1160,-3.799165707429419,-49.22037977979659,100
1180,-3.752949581667538,-49.583838792413246,100
1200,-3.708119939678513,-49.936394034651414,100
1220,-3.664839821056316,-50.27676330881786,100
1241,-3.6226596109088427,-50.60848253623976,100
1260,-3.5896028561557394,-50.868451870423655,100
1281,-3.5499154964279818,-51.18056649150492,100
1301,-3.511418757492057,-51.48331767395371,100
1320,-3.475350936331747,-51.76696703767806,100
1341,-3.4391293546669353,-52.051825625244135,100
1362,-3.403994420452068,-52.32813845518325,100
1396,-3.3699135342636466,-52.59616190022422,100
1415,-3.336855074660878,-52.85614464191394,100
1429,-3.3137608217586783,-53.03776554194786,100
1441,-3.2953916639857255,-53.18222671944153,100
1481,-3.266125247389719,-53.41238757138353,100
1500,-3.2312251867541155,-53.686853277233354,100
1520,-3.2051037244539415,-53.89228116066607,100
1540,-3.1791943762670325,-54.096040908033785,100
1560,-3.1630285432839984,-54.22317440521209,100
1580,-3.1630285432839984,-54.22317440521209,100
1601,-3.1630285432839984,-54.22317440521209,100
1621,-3.5957821048539333,-54.79522816757594,100
1641,-6.364223813219667,-60.2236132840618,100
1660,-11.709012196507485,-71.61909874640025,100
1681,-14.709465572731174,-78.13223531468225,100
1700,-19.659661297869533,-87.8026643384552,100
1729,-24.403409482092698,-95.05857798845511,100
1745,-25.57362942881905,-97.09806080205647,100
1760,-26.591032570214217,-98.60888240034001,100
1781,-26.880517547258364,-99.38626274895455,100
1800,-27.169445916998022,-99.89602116555125,100
1834,-27.217803418049204,-99.95267613185399,100
1840,-27.217803418049204,-99.95267613185399,100
1860,-27.238753057089458,-99.97722043352553,100
1881,-27.282095091445573,-100.02799934977554,100
1900,-27.300731677310047,-100.04983371096455,100
1920,-27.300731677310047,-100.04983371096455,100
1940,-27.32117860350495,-100.07378904135561,100
1960,-27.34101212191401,-100.09702571183493,100
1982,-27.360250634770793,-100.11956528219991,100
2001,-27.388654867430063,-100.15284328063211,100
2021,-27.406135874834533,-100.17332378239314,100
2040,-27.42265664043761,-100.19267927840087,100
2061,-27.439177406031597,-100.21203477439792,100
2081,-27.455202548657766,-100.23080960551499,100
2100,-27.470454336754486,-100.24867838537114,100
2122,-27.498325592391307,-100.28133195543978,100
2140,-27.498325592391307,-100.28133195543978,100
2164,-27.498325592391307,-100.28133195543978,100
2181,-27.498325592391307,-100.28133195543978,100
2200,-27.64816493756751,-100.28133195543978,100
2220,-27.79796406709793,-101.11719077558564,100
2240,-27.498325592391307,-103.22140841812347,100
2260,-26.898603997253637,-107.04961712663942,100
2280,-24.796512685528732,-113.90932907150602,100
2300,-22.243466398545227,-122.51245907085365,100
2320,-16.28545389241996,-135.0267912326999,100
2340,-13.650658105194285,-138.8857367754643,100
2360,-10.347024591303569,-142.75919847502632,100
2381,-9.498858115152256,-143.5269510762687,100
2404,-8.796788119781407,-144.06908730739508,100
2420,-8.796788119781407,-144.2844804225267,100
2441,-8.517203501402182,-144.39186377160019,100
2468,-8.353963916323824,-144.49903831074585,100
2481,-8.353963916323824,-144.49903831074585,100
2500,-8.330956901298677,-144.49903831074585,100
2520,-8.308640096724284,-144.49903831074585,100
2540,-8.286992796287123,-144.49903831074585,100
2561,-8.25086872042479,-144.49903831074585,100
2581,-8.231129246346773,-144.49903831074585,100
2600,-8.213069806650958,-144.49903831074585,100
2620,-8.195513878107445,-144.49903831074585,100
2640,-8.177482282861003,-144.49903831074585,100
2660,-8.147362359196496,-144.49903831074585,100
2681,-8.131912187203593,-144.49903831074585,100
2700,-8.115948945579088,-144.49903831074585,100
2721,-8.10094279418113,-144.49903831074585,100
2740,-8.085922980136633,-144.49903831074585,100
2761,-8.076860068524134,-144.49903831074585,100
2780,-8.051666946519372,-144.49903831074585,100
2801,-8.038370013138243,-144.49903831074585,100
2820,-8.026120682563334,-144.49903831074585,100
2840,-8.026120682563334,-144.49903831074585,100
2861,-8.026120682563334,-144.49903831074585,100
2880,-8.026120682563334,-144.7813048029908,100
2901,-7.458013606681304,-148.3303496508389,100
2920,-6.457689734858843,-151.33042896262623,100
2941,-5.449970170316478,-154.90499027079534,100
2961,-4.289883541970491,-162.81441080202416,100
2980,-3.9985475341864234,-165.9817462271925,100
3000,-3.9985475341864234,-169.61154781042342,100
3020,-4.289883541970491,-171.83983646659084,100
3040,-4.8710032676018065,-174.52439739726344,100
3061,-5.16076198072701,-175.27679139060962,100
3080,-5.449970170316478,-175.89864802182,100
3101,-5.5943640223653865,-176.51576364150026,100
3120,-5.7386157069407755,-176.638612429281,100
3140,-5.7386157069407755,-176.76126867375024,100
3160,-5.7386157069407755,-176.76126867375024,100
3181,-5.7386157069407755,-176.76126867375024,100
3200,-5.7386157069407755,-176.76126867375024,100
3220,-5.7386157069407755,-176.76126867375024,100
3240,-5.7386157069407755,-176.76126867375024,100
3260,-5.7386157069407755,-176.76126867375024,100
3280,-5.7386157069407755,-176.76126867375024,100
3301,-5.7386157069407755,-176.76126867375024,100
3321,-5.7386157069407755,-176.76126867375024,100
3341,-5.7386157069407755,-176.76126867375024,100
3361,-5.7386157069407755,-176.76126867375024,100
3381,-5.7386157069407755,-176.76126867375024,100
3400,-5.7386157069407755,-176.76126867375024,100
3420,-5.7386157069407755,-176.76126867375024,100
3440,-5.7386157069407755,-176.76126867375024,100
3460,-5.7386157069407755,-176.76126867375024,100
3485,-5.7386157069407755,-176.76126867375024,100
3500,-5.7386157069407755,-176.76126867375024,100
3521,-5.7386157069407755,-176.76126867375024,100
3540,-5.7386157069407755,-176.76126867375024,100
3561,-5.7386157069407755,-176.76126867375024,100
3581,-5.7386157069407755,-176.76126867375024,100
3600,-5.7386157069407755,-176.76126867375024,100
3620,-5.7386157069407755,-176.76126867375024,100
3640,-5.7386157069407755,-176.76126867375024,100
3661,-5.7386157069407755,-176.76126867375024,100
3680,-5.7386157069407755,-176.76126867375024,100
3700,-5.7386157069407755,-176.76126867375024,100
3720,-5.7386157069407755,-176.76126867375024,100
3740,-5.7386157069407755,-176.76126867375024,100
3760,-5.7386157069407755,-176.76126867375024,100
3780,-5.7386157069407755,-176.76126867375024,100
3801,-5.7386157069407755,-176.76126867375024,100
3821,-5.7386157069407755,-176.76126867375024,100
3841,-5.7386157069407755,-176.76126867375024,100
3860,-5.7386157069407755,-176.76126867375024,100
3882,-5.7386157069407755,-176.76126867375024,100
3903,-5.7386157069407755,-176.76126867375024,100
3920,-5.7386157069407755,-176.76126867375024,100
3943,-5.7386157069407755,-176.76126867375024,100
3960,-5.7386157069407755,-176.76126867375024,100
3980,-5.7386157069407755,-176.76126867375024,100
4000,-5.7386157069407755,-176.76126867375024,100
4022,-5.7386157069407755,-176.76126867375024,100
4040,-5.7386157069407755,-176.76126867375024,100
4060,-5.7386157069407755,-176.76126867375024,100
4080,-5.7386157069407755,-176.76126867375024,100
