Time (UTC),Action,Detail,Notes
28_8_2020 @ 16:47:28,Sign-Up,,
5_9_2020 @ 1:23:29,move,profile,
5_9_2020 @ 1:25:07,leave,profile,
5_9_2020 @ 1:25:08,move,leaderboard,
5_9_2020 @ 1:25:20,search,Tim Chen,found
5_9_2020 @ 1:25:57,search,asdasdas,not found
5_9_2020 @ 1:26:15,leave,leaderboard,
5_9_2020 @ 1:26:16,move,profile,
5_9_2020 @ 1:26:22,leave,profile,
5_9_2020 @ 1:26:23,move,edit,
5_9_2020 @ 1:26:40,edit_page,occupation,student
5_9_2020 @ 1:26:49,edit_page,bio,yes haha this is test bio hahahahahaha
5_9_2020 @ 1:27:03,edit_page,cancel,
5_9_2020 @ 1:27:03,leave,edit,
5_9_2020 @ 1:27:04,move,profile,
5_9_2020 @ 1:27:11,leave,profile,
