Time (UTC),Action,Detail,Notes
6_9_2020 @ 21:47:56,Sign-Up,,
6_9_2020 @ 21:47:56,move,edit,
6_9_2020 @ 21:48:0,move,profile,
6_9_2020 @ 21:48:24,move,leaderboard,1
6_9_2020 @ 21:50:24,move,profile,
6_9_2020 @ 21:50:36,move,leaderboard,1
8_9_2020 @ 0:17:23,move,profile,
8_9_2020 @ 0:17:29,move,leaderboard,1
8_9_2020 @ 0:18:20,move,profile,
8_9_2020 @ 0:18:21,move,tag,
8_9_2020 @ 0:18:23,move,profile,
8_9_2020 @ 0:18:26,move,leaderboard,1
8_9_2020 @ 0:18:28,move,profile,
8_9_2020 @ 0:25:32,move,profile,
8_9_2020 @ 0:25:38,move,leaderboard,1
8_9_2020 @ 0:27:48,move,profile,
8_9_2020 @ 0:29:29,move,profile,
8_9_2020 @ 0:29:31,move,leaderboard,1
8_9_2020 @ 0:29:33,move,profile,
8_9_2020 @ 0:30:29,move,leaderboard,1
8_9_2020 @ 0:30:30,move,profile,
8_9_2020 @ 0:57:34,move,profile,
8_9_2020 @ 0:58:20,move,leaderboard,1
8_9_2020 @ 16:14:24,move,profile,
8_9_2020 @ 16:14:26,move,leaderboard,1
8_9_2020 @ 16:14:28,move,profile,
8_9_2020 @ 16:23:29,move,profile,
8_9_2020 @ 16:23:38,exit,profile,
8_9_2020 @ 16:23:38,move,leaderboard,1
8_9_2020 @ 16:23:39,move,profile,
8_9_2020 @ 16:24:23,exit,profile,
8_9_2020 @ 16:24:23,move,profile,
8_9_2020 @ 16:24:36,exit,profile,
8_9_2020 @ 16:24:38,exit,profile,
8_9_2020 @ 16:28:22,exit,profile,
8_9_2020 @ 16:28:23,move,leaderboard,1
8_9_2020 @ 16:28:24,move,profile,
8_9_2020 @ 16:28:30,exit,profile,
8_9_2020 @ 16:28:30,move,leaderboard,1
