Time (UTC),Action,Detail,Notes
24_10_2020 @ 15:48:24,Sign-Up,,
24_10_2020 @ 15:48:24:608,move,edit,
24_10_2020 @ 15:48:32:631,submit_edits,,
24_10_2020 @ 15:48:33:0,move,profile,
24_10_2020 @ 15:48:35:385,exit,profile,
24_10_2020 @ 15:48:35:449,logout,,
24_10_2020 @ 15:49:0:202,move,profile,
