Time (UTC),Action,Detail,Notes
21_9_2020 @ 15:34:59:319,exit,profile,
21_9_2020 @ 15:34:59:353,move,tag_tutorial,
21_9_2020 @ 15:35:34:73,exit,tag_tutorial,
21_9_2020 @ 15:35:34:167,move,tag,img1
21_9_2020 @ 15:35:49:478,move,profile,
21_9_2020 @ 15:36:25:296,exit,profile,
21_9_2020 @ 15:36:25:344,move,tag,img1
21_9_2020 @ 15:38:12:549,move,profile,
21_9_2020 @ 15:38:16:64,exit,profile,
21_9_2020 @ 15:38:16:106,move,tag,img1
21_9_2020 @ 15:40:4:188,exit,tag,img1
21_9_2020 @ 15:44:52:602,move,profile,
21_9_2020 @ 15:44:55:40,exit,profile,
21_9_2020 @ 15:44:55:222,move,tag,img1
21_9_2020 @ 15:46:0:802,move,profile,
21_9_2020 @ 15:46:3:168,exit,profile,
21_9_2020 @ 15:46:3:209,move,tag,img1
21_9_2020 @ 15:46:56:241,move,profile,
21_9_2020 @ 15:48:3:963,exit,profile,
21_9_2020 @ 15:48:4:253,move,tag,img1
21_9_2020 @ 15:49:29:251,move,profile,
21_9_2020 @ 15:49:48:571,exit,profile,
21_9_2020 @ 15:49:48:926,move,tag,img1
21_9_2020 @ 15:52:29:562,move,profile,
21_9_2020 @ 15:52:40:169,exit,profile,
21_9_2020 @ 15:52:40:242,move,tag,img1
21_9_2020 @ 16:8:38:715,move,profile,
21_9_2020 @ 16:8:39:946,exit,profile,
21_9_2020 @ 16:8:40:2,move,tag,img1
21_9_2020 @ 16:8:49:714,move,tag,img2
21_9_2020 @ 16:9:43:395,move,profile,
21_9_2020 @ 16:9:44:514,exit,profile,
21_9_2020 @ 16:9:44:558,move,tag,img2
21_9_2020 @ 16:9:47:237,move,profile,
21_9_2020 @ 16:11:20:631,exit,profile,
21_9_2020 @ 16:11:20:654,move,tag,img2
21_9_2020 @ 16:11:23:17,move,leaderboard,1
21_9_2020 @ 16:11:38:65,exit,leaderboard,1
21_9_2020 @ 16:11:38:165,move,tag,img2
21_9_2020 @ 16:11:54:660,move,profile,
21_9_2020 @ 16:11:55:763,exit,profile,
21_9_2020 @ 16:11:55:795,move,tag,img2
21_9_2020 @ 16:11:57:277,move,profile,
21_9_2020 @ 16:13:59:161,exit,profile,
21_9_2020 @ 16:13:59:197,move,tag,img2
21_9_2020 @ 16:14:9:745,move,profile,
21_9_2020 @ 16:15:43:311,exit,profile,
21_9_2020 @ 16:15:43:336,move,tag,img2
21_9_2020 @ 16:15:53:701,move,profile,
21_9_2020 @ 16:16:54:551,exit,profile,
21_9_2020 @ 16:16:54:602,move,tag,img2
21_9_2020 @ 16:17:3:750,move,profile,
21_9_2020 @ 16:21:57:778,exit,profile,
21_9_2020 @ 16:21:57:832,move,tag,img2
21_9_2020 @ 16:22:2:485,move,profile,
21_9_2020 @ 16:22:33:975,exit,profile,
21_9_2020 @ 16:22:34:25,move,tag,img2
21_9_2020 @ 16:23:34:239,move,profile,
21_9_2020 @ 16:23:34:993,move,tag,img2
21_9_2020 @ 16:23:43:730,move,tag,img3
21_9_2020 @ 16:26:54:482,move,profile,
21_9_2020 @ 16:26:56:326,exit,profile,
21_9_2020 @ 16:26:56:348,move,tag,img3
21_9_2020 @ 16:27:11:852,move,tag,img4
21_9_2020 @ 16:33:27:336,move,profile,
21_9_2020 @ 16:33:28:482,exit,profile,
21_9_2020 @ 16:33:28:499,move,tag,img4
21_9_2020 @ 16:33:42:658,move,tag,img5
21_9_2020 @ 16:48:6:587,move,profile,
21_9_2020 @ 16:48:7:521,exit,profile,
21_9_2020 @ 16:48:7:542,move,tag,img5
21_9_2020 @ 16:48:56:273,move,profile,
21_9_2020 @ 16:48:58:881,exit,profile,
21_9_2020 @ 16:48:58:896,move,tag,img5
21_9_2020 @ 16:49:8:241,move,tag,img6
21_9_2020 @ 16:53:37:905,move,profile,
21_9_2020 @ 16:53:39:501,exit,profile,
21_9_2020 @ 16:53:39:515,move,tag,img6
21_9_2020 @ 16:53:47:119,exit,tag,tag submitted forimg6
21_9_2020 @ 16:53:47:159,move,tag,img7
