Time (UTC),Action,Detail,Notes
14_9_2020 @ 17:6:28,Sign-Up,,
14_9_2020 @ 17:6:28:869,move,edit,
14_9_2020 @ 17:7:2:637,edit_info,bio,This is edited bio
14_9_2020 @ 17:7:6:459,edit_info,occupation,this is edited job
14_9_2020 @ 17:7:31:560,submit_edits,,
14_9_2020 @ 17:7:31:612,move,profile,
14_9_2020 @ 17:7:46:14,exit,profile,
14_9_2020 @ 17:7:46:32,move,tag_tutorial,
14_9_2020 @ 17:7:47:780,exit,tag_tutorial,
14_9_2020 @ 17:7:47:856,move,leaderboard,1
14_9_2020 @ 17:8:1:264,exit,leaderboard,1
14_9_2020 @ 17:8:1:287,check_own_rank,,
14_9_2020 @ 17:8:1:322,move,leaderboard,1
14_9_2020 @ 17:8:15:993,user_search_access,test10,"tags done: 0, pics done: 0"
14_9_2020 @ 17:8:34:80,user_search_access,doesnt exist,invalid_name
14_9_2020 @ 17:8:44:279,user_leaderboard_access,test9,"tags done: 0, pics done: 0"
14_9_2020 @ 17:9:7:354,exit,leaderboard,1
14_9_2020 @ 17:9:7:378,move,tag_tutorial,
14_9_2020 @ 17:9:8:874,exit,tag_tutorial,
14_9_2020 @ 17:9:8:885,logout,,
23_9_2020 @ 19:46:23:622,move,profile,
23_9_2020 @ 19:46:25:559,exit,profile,
23_9_2020 @ 19:46:25:582,move,tag_tutorial,
23_9_2020 @ 19:46:46:776,exit,tag_tutorial,
23_9_2020 @ 19:46:46:839,move,tag,img1
23_9_2020 @ 19:47:3:188,move,tag,img1
23_9_2020 @ 19:47:20:871,move,tag,img1
23_9_2020 @ 19:48:55:442,move,tag,img1
23_9_2020 @ 19:49:12:593,move,tag,img1
