Time (UTC),Action,Detail,Notes
30_9_2020 @ 17:33:36,Sign-Up,,
30_9_2020 @ 17:33:36:862,move,edit,
30_9_2020 @ 17:33:39:49,exit,edit,
30_9_2020 @ 17:33:39:77,logout,,
